pickup_street,pickup_street2,pickup_city,pickup_state,pickup_zipcode,order_id,dropoff_street,dropoff_street2,dropoff_city,dropoff_state,dropoff_zipcode,dropoff_earliest_datetime,dropoff_latest_datetime,customer_name,customer_email,customer_phone_number,dropoff_notes,delivery_items,signature_required,delivery_proof_photo_required,sms_enabled,workload
3333 S Iron St,,Chicago,IL,60608,fcede3af-09b3-413f-b922-59a3694da4e8,454 West Deming Place,Apt 1E,Chicago,IL,60614,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,Leave package in lobby after you are buzzed into building,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,2ebca5d4-2525-4c9a-8b9e-6bfc8b15f752,2150 W Cortez St # 3,,Chicago,IL,60622,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,c089c891-935f-441c-b0f2-c1d3dfef3f94,1232 W Huron St Apt 1,,Chicago,IL,60642,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,DO NOT take upstairs. Please leave inside the black gate marked 1232 Apt #1 to the left of the building.,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,07f5122f-a33a-4c2b-b67b-14687a4b2259,5209 S Kenwood Ave,,Chicago,IL,60615,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,6f90f484-4049-4490-bfe2-d6be7b516296,1828 W. Superior,Apt 2F,Chicago,IL,60622,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,leave at the side entrance,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,966d13a1-f95e-4492-816c-5cae4e96fc6f,1542 N Mohawk St Apt 2,,Chicago,IL,60610,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,You can leave package by the main door entrance. Thanks!,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,770d2809-2069-4bc2-b263-c6755ea4c078,511 W Division St Apt 704,,Chicago,IL,60610,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,olena.pupirina@gmail.com,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,8ca348a7-da5e-41c2-b175-edc780ac76e4,180 E Pearson,Apt 5202,Chicago,IL,60611,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,0c154181-300b-4c7f-8baa-e0ba16f0c613,3214 South Hoyne Avenue,,Chicago,IL,60608,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,0d09ac9e-32d7-43b3-85e9-13f753d8dad6,1534 W Walton St Apt 3,,Chicago,IL,60642,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,1ebf8061-6166-4b00-9e92-affdeecfdc0f,"424 E. Oakwood, Unit 14",,Chicago,IL,60653,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,4455d034-ebea-4c5c-a754-fa5e778a3749,458 e 42 nd St,,Chicago,IL,60653,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,Ring door bell. ..throw over fence if no answer.,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,40e4679f-5274-4109-80ac-47e18fa5625d,2314 N. Lincoln Park West,Apt 11 S,Chicago,IL,60614,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,Please leave without signature on the counter next to the doormans desk,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,8eb2293a-b69b-4628-ba67-f49aafaa3b48,510 N Paulina St,,Chicago,IL,60622,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,call 847.530.7680 for access,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,17d015cf-a1a1-4d55-8133-ca059a595630,820 W. Altgeld,,Chicago,IL,60614,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,f5939336-d240-4ca2-92d6-402ee91af63d,1041 N Damen Ave Apt 1R,,Chicago,IL,60622,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,Please (carefully) drop box over the locked gate to the right.,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,df767882-ac0a-436d-b43f-c10b2f87d28d,860 N Lake Shore Dr,Apt 24L,Chicago,IL,60611,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,528632b6-b0d8-4d14-b4bd-d3a5d51eba67,1424 w. grand #4,,Chicago,IL,60642,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,cbbce2d9-ec71-49d9-8ef9-bed6444c5b98,1720 S Indiana Ave,,Chicago,IL,60616,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,Front Door,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,c6032ae6-47e0-497e-a31f-ad0e8ae4588c,501 N Clinton St,Apt 502,Chicago,IL,60654,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,94cd4cea-f8de-4172-b851-07b1f6254796,1114 W Chestnut St,Apt 1W,Chicago,IL,60642,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
